application_id,company_name,sector,requested_limit_cr,gstr_1_sales_cr,bank_inflows_cr,dscr,current_ratio,debt_to_equity,gst_vs_bank_variance,circular_trading_risk_score,litigation_count,promoter_sentiment,sector_risk_score,due_diligence_score,final_score,decision,actual_default,timestamp
SYN-2031-00734,Modern Industries,IT Services,29.15,44.44,40.7,0.57,0.85,3.54,8.41,46.19,4,NEUTRAL,71.8,-3.08,0.0,REJECT,1,2025-04-03T16:56:05.568826
SYN-2033-00975,Modern Technologies,Food Processing,89.16,119.69,123.36,1.64,2.35,1.83,3.06,3.54,0,NEUTRAL,31.17,3.5,100.0,APPROVE,0,2025-09-28T16:56:05.593339
SYN-2024-00049,Royal Technologies,Renewable Energy,60.57,122.08,125.78,1.69,2.35,0.72,3.03,4.09,0,POSITIVE,20.52,2.19,100.0,APPROVE,0,2026-01-07T16:56:05.480068
SYN-2032-00896,United Technologies,IT Services,6.2,20.24,20.55,1.3,1.67,2.2,1.54,26.24,0,POSITIVE,38.16,3.31,92.72,APPROVE,0,2026-01-20T16:56:05.584279
SYN-2024-00002,Apex Solutions,Chemicals,11.37,18.83,19.14,1.23,1.24,1.93,1.66,5.99,0,POSITIVE,27.77,0.85,92.3,APPROVE,0,2026-03-04T16:56:05.472794
SYN-2029-00544,Modern Industries,Retail,75.09,106.17,104.45,1.2,1.9,0.61,1.62,21.01,0,NEUTRAL,13.17,4.68,100.0,APPROVE,0,2025-05-29T16:56:05.553640
SYN-2027-00350,United Solutions,Food Processing,34.43,89.64,90.91,1.33,1.88,0.6,1.41,4.7,0,POSITIVE,11.26,4.4,100.0,APPROVE,0,2025-08-27T16:56:05.532510
SYN-2033-00904,Global Solutions,Automotive Parts,41.69,137.72,150.67,0.75,0.96,1.95,9.4,94.73,3,NEGATIVE,66.16,-0.08,0.0,REJECT,1,2025-10-28T16:56:05.585005
SYN-2029-00536,Prime Technologies,Pharmaceuticals,40.98,127.1,114.92,0.78,1.17,3.26,9.58,48.8,1,NEGATIVE,71.6,-1.89,0.0,REJECT,1,2025-05-30T16:56:05.552875
SYN-2027-00344,Royal Systems,Chemicals,57.43,119.75,103.39,0.42,0.84,2.17,13.66,53.59,2,NEGATIVE,50.11,-0.88,0.0,REJECT,0,2026-02-19T16:56:05.531201
SYN-2033-00994,Supreme Enterprises,Textiles,70.94,99.14,102.47,1.66,1.75,1.18,3.36,13.81,0,POSITIVE,14.48,0.08,100.0,APPROVE,0,2025-12-21T16:56:05.594975
SYN-2028-00481,Crown Technologies,Pharmaceuticals,40.93,119.92,120.58,1.57,1.36,0.71,0.55,12.15,1,NEGATIVE,11.65,0.77,76.26,APPROVE,0,2026-01-15T16:56:05.549016
SYN-2029-00575,Universal Solutions,Industrial Manufacturing,40.37,117.34,116.2,1.71,2.76,2.29,0.97,16.72,0,POSITIVE,18.39,2.07,100.0,APPROVE,0,2025-03-27T16:56:05.557199
SYN-2024-00033,Modern Solutions,Food Processing,22.82,63.55,59.41,0.86,0.91,2.33,6.52,90.69,1,NEGATIVE,72.58,-1.52,0.0,REJECT,1,2026-02-15T16:56:05.477430
SYN-2024-00031,Sterling Industries,Retail,13.73,40.96,41.02,1.37,1.85,1.92,0.15,15.09,0,POSITIVE,29.76,3.21,100.0,APPROVE,0,2025-05-12T16:56:05.477025
SYN-2026-00231,United Solutions,Automotive Parts,27.51,66.11,58.96,0.8,0.85,3.03,10.81,43.01,1,NEGATIVE,56.11,-3.59,0.0,REJECT,0,2025-10-10T16:56:05.503633
SYN-2033-00963,Elite Industries,Industrial Manufacturing,17.87,22.99,21.2,0.44,0.94,1.89,7.76,87.92,1,NEUTRAL,69.02,-4.03,0.0,REJECT,0,2025-06-23T16:56:05.592251
SYN-2025-00192,Imperial Group,IT Services,58.48,166.94,170.22,0.86,1.56,1.85,1.97,10.06,0,POSITIVE,31.36,1.2,83.21,APPROVE,0,2026-02-22T16:56:05.498787
SYN-2027-00333,Apex Solutions,Pharmaceuticals,57.07,84.5,75.84,0.69,1.2,1.29,10.25,50.41,1,NEGATIVE,72.06,-4.37,0.0,REJECT,1,2025-06-06T16:56:05.527640
SYN-2024-00003,Royal Enterprises,Food Processing,78.48,182.77,207.55,0.68,1.01,2.02,13.56,47.32,2,NEUTRAL,41.38,-1.69,0.0,REJECT,0,2025-08-25T16:56:05.472927
SYN-2026-00204,Apex Solutions,Industrial Manufacturing,6.91,18.67,20.28,0.81,1.61,2.0,8.58,55.26,1,NEUTRAL,58.9,-3.62,17.48,REJECT,1,2025-06-02T16:56:05.500228
SYN-2029-00514,Classic Corporation,Retail,29.32,65.53,63.16,1.76,2.47,0.8,3.62,13.44,0,NEUTRAL,39.52,1.77,100.0,APPROVE,0,2025-12-07T16:56:05.551364
SYN-2031-00799,Supreme Enterprises,Food Processing,132.79,168.04,149.18,0.92,1.39,3.26,11.22,58.66,1,NEGATIVE,50.9,-2.53,0.0,REJECT,1,2025-10-20T16:56:05.574977
SYN-2027-00306,Modern Corporation,Food Processing,18.79,59.32,58.61,1.29,2.03,1.33,1.19,11.05,0,POSITIVE,10.93,4.4,100.0,APPROVE,0,2025-09-11T16:56:05.517468
SYN-2025-00109,Prime Solutions,Textiles,108.0,157.55,175.44,0.55,1.53,2.43,11.35,98.09,1,POSITIVE,74.74,-0.78,0.0,REJECT,0,2026-01-08T16:56:05.488536
SYN-2028-00430,Prime Industries,Textiles,144.66,198.51,194.57,1.58,1.79,1.36,1.98,22.64,0,NEUTRAL,26.15,0.49,97.38,APPROVE,0,2025-06-03T16:56:05.543045
SYN-2024-00077,Global Solutions,IT Services,26.1,39.67,39.34,1.4,1.65,0.5,0.83,19.32,0,POSITIVE,10.76,3.29,100.0,APPROVE,0,2025-05-22T16:56:05.484934
SYN-2024-00084,Sterling Manufacturing,Pharmaceuticals,93.59,183.74,177.36,1.81,1.99,1.33,3.47,18.02,0,POSITIVE,15.26,1.92,100.0,APPROVE,0,2025-04-11T16:56:05.485565
SYN-2026-00286,Modern Industries,IT Services,55.13,87.84,82.63,0.81,0.52,2.49,5.93,95.63,1,NEGATIVE,70.58,-3.7,0.0,REJECT,1,2025-09-18T16:56:05.513819
SYN-2024-00082,Prime Group,Renewable Energy,21.81,59.0,54.38,0.82,1.15,2.21,7.83,56.12,2,NEGATIVE,65.34,-0.83,0.0,REJECT,1,2025-09-07T16:56:05.485385
SYN-2033-00991,United Technologies,Construction,59.77,78.29,74.89,1.62,2.12,1.76,4.35,25.48,0,NEUTRAL,36.11,3.49,97.05,APPROVE,0,2025-08-04T16:56:05.594682
SYN-2031-00789,Premier Technologies,Chemicals,18.09,42.33,41.78,1.78,1.82,1.41,1.3,23.76,0,POSITIVE,21.96,1.32,100.0,APPROVE,0,2026-02-16T16:56:05.574333
SYN-2032-00894,National Industries,Pharmaceuticals,15.83,50.29,53.06,0.93,1.02,2.67,5.53,67.09,4,NEUTRAL,44.9,-2.83,0.0,REJECT,1,2025-10-16T16:56:05.584023
SYN-2027-00398,Crown Manufacturing,Industrial Manufacturing,6.81,14.56,15.15,1.79,0.96,1.78,4.08,12.32,0,POSITIVE,22.46,0.89,100.0,APPROVE,0,2026-01-19T16:56:05.536937
SYN-2027-00323,Global Systems,Retail,147.46,198.0,203.05,2.05,2.13,1.44,2.55,9.42,0,POSITIVE,35.2,1.86,100.0,APPROVE,0,2025-09-04T16:56:05.520083
SYN-2029-00519,Elite Solutions,Textiles,50.91,82.74,81.87,1.65,1.45,1.57,1.04,3.21,0,NEUTRAL,37.31,2.15,100.0,APPROVE,0,2025-06-06T16:56:05.551715
SYN-2033-00916,National Systems,Automotive Parts,17.25,33.87,30.16,0.65,0.88,4.2,10.93,68.46,1,NEGATIVE,76.62,-3.28,0.0,REJECT,1,2025-10-22T16:56:05.586195
SYN-2033-00922,Prime Industries,Industrial Manufacturing,33.23,59.73,63.86,1.03,1.38,2.53,6.91,82.41,3,NEGATIVE,47.75,-3.35,0.0,REJECT,1,2025-03-29T16:56:05.587015
SYN-2024-00005,Global Technologies,Retail,41.9,113.11,112.07,1.47,1.68,0.46,0.92,24.86,0,POSITIVE,18.43,4.01,100.0,APPROVE,0,2026-02-12T16:56:05.473129
SYN-2031-00731,Sterling Group,Food Processing,46.48,129.49,125.33,1.02,1.53,0.75,3.21,5.15,0,POSITIVE,18.7,3.27,100.0,APPROVE,0,2025-03-30T16:56:05.568635
SYN-2028-00465,Supreme Technologies,Pharmaceuticals,36.47,48.34,47.17,1.79,1.71,1.57,2.42,18.71,0,POSITIVE,19.29,3.8,100.0,APPROVE,0,2026-01-21T16:56:05.547937
SYN-2024-00097,Universal Technologies,Automotive Parts,25.17,76.52,81.43,0.86,1.84,1.99,6.41,53.23,1,NEUTRAL,71.18,-0.15,28.44,REJECT,1,2025-04-21T16:56:05.486944
SYN-2026-00266,Classic Corporation,Food Processing,64.95,163.34,158.86,1.4,2.52,1.32,2.75,21.87,0,NEGATIVE,18.22,1.73,83.58,APPROVE,0,2025-03-24T16:56:05.510836
SYN-2027-00357,Universal Manufacturing,Renewable Energy,14.86,35.74,35.35,1.81,2.46,0.96,1.08,0.71,0,NEUTRAL,39.24,4.34,100.0,APPROVE,0,2025-10-02T16:56:05.533251
SYN-2032-00868,National Corporation,Automotive Parts,95.2,137.73,142.6,1.39,1.78,1.32,3.53,9.65,0,NEGATIVE,21.29,2.65,79.11,APPROVE,0,2025-12-22T16:56:05.581822
SYN-2031-00798,Global Systems,Retail,29.85,94.15,93.22,1.11,2.32,1.06,0.99,11.21,0,NEUTRAL,27.55,1.6,97.49,APPROVE,0,2025-04-29T16:56:05.574912
SYN-2027-00380,Crown Industries,Chemicals,59.82,100.91,103.56,2.13,1.39,1.02,2.62,3.77,1,NEUTRAL,13.24,2.71,100.0,APPROVE,0,2025-10-31T16:56:05.535244
SYN-2030-00631,United Corporation,Automotive Parts,87.48,152.05,155.12,1.24,1.56,1.76,2.02,7.24,0,POSITIVE,20.69,4.08,100.0,APPROVE,0,2025-12-29T16:56:05.561185
SYN-2027-00381,National Corporation,Construction,67.46,104.64,102.15,1.56,1.44,0.43,2.39,19.13,0,POSITIVE,11.25,1.26,100.0,APPROVE,0,2026-02-09T16:56:05.535306
SYN-2028-00490,Supreme Corporation,Food Processing,13.26,22.18,19.76,1.22,0.65,3.43,10.92,76.44,1,NEGATIVE,67.07,-1.3,0.0,REJECT,0,2025-12-17T16:56:05.549621
SYN-2025-00118,United Group,IT Services,71.87,97.9,98.35,1.51,1.85,1.51,0.47,2.17,0,NEUTRAL,17.73,3.64,100.0,APPROVE,0,2025-04-21T16:56:05.489441
SYN-2033-00900,Supreme Group,Construction,56.83,124.63,127.02,1.1,1.7,1.84,1.91,28.52,0,POSITIVE,20.62,4.55,96.41,APPROVE,0,2026-01-09T16:56:05.584640
SYN-2026-00250,Modern Group,Food Processing,55.8,97.34,95.38,1.02,1.87,2.21,2.01,2.29,0,NEGATIVE,34.21,2.16,61.44,CONDITIONAL_APPROVE,0,2025-10-11T16:56:05.505567
SYN-2029-00523,National Manufacturing,Food Processing,12.62,26.8,24.89,1.09,1.1,2.02,7.1,56.3,3,NEGATIVE,55.13,-0.09,0.0,REJECT,1,2025-08-28T16:56:05.552080
SYN-2024-00009,Universal Solutions,Renewable Energy,10.96,24.63,24.0,1.53,1.0,1.09,2.54,12.31,0,NEUTRAL,16.86,0.81,95.71,APPROVE,0,2025-09-27T16:56:05.473568
SYN-2025-00196,Imperial Enterprises,Chemicals,41.41,116.48,120.75,1.61,2.0,1.52,3.66,7.81,0,NEUTRAL,30.12,2.24,100.0,APPROVE,0,2025-10-11T16:56:05.499243
SYN-2030-00603,Royal Corporation,Food Processing,35.77,67.53,65.25,1.13,2.35,0.9,3.37,17.14,0,POSITIVE,21.37,4.09,100.0,APPROVE,0,2025-09-13T16:56:05.559251
SYN-2024-00081,Universal Corporation,Pharmaceuticals,26.89,36.62,38.29,1.12,2.5,0.16,4.54,8.83,0,POSITIVE,32.91,2.44,100.0,APPROVE,0,2025-07-13T16:56:05.485285
SYN-2031-00783,Imperial Manufacturing,IT Services,77.25,167.39,151.61,1.29,1.23,2.57,9.43,68.27,2,NEGATIVE,77.12,-3.81,0.0,REJECT,0,2025-11-24T16:56:05.573869
SYN-2029-00587,Sterling Solutions,Pharmaceuticals,3.96,11.73,11.57,1.33,2.01,1.72,1.39,16.64,0,POSITIVE,37.79,1.25,99.84,APPROVE,0,2026-01-26T16:56:05.558299
SYN-2031-00797,United Solutions,IT Services,72.33,142.09,130.62,1.18,1.45,3.58,8.07,91.66,2,NEGATIVE,40.51,-2.17,0.0,REJECT,0,2025-11-15T16:56:05.574842
SYN-2026-00239,National Industries,Industrial Manufacturing,13.64,19.95,20.17,0.8,1.28,1.34,1.11,52.53,1,NEGATIVE,54.79,-2.92,13.85,REJECT,1,2025-12-21T16:56:05.504492
SYN-2026-00290,Supreme Manufacturing,Automotive Parts,58.84,141.85,141.42,1.63,2.04,2.23,0.3,4.81,0,POSITIVE,15.38,0.59,100.0,APPROVE,0,2025-08-08T16:56:05.514832
SYN-2026-00211,National Corporation,Chemicals,12.83,22.62,22.07,1.71,1.89,1.68,2.43,21.72,0,NEUTRAL,37.07,0.71,96.53,APPROVE,0,2025-04-30T16:56:05.501043
SYN-2031-00717,Supreme Group,Chemicals,8.28,16.23,15.46,0.73,1.32,2.43,4.75,75.9,1,NEUTRAL,51.0,-0.52,16.89,REJECT,1,2025-05-07T16:56:05.567275
SYN-2027-00359,Premier Solutions,Chemicals,88.61,181.81,186.65,0.98,2.4,1.22,2.66,8.26,0,POSITIVE,18.14,2.75,100.0,APPROVE,0,2025-08-03T16:56:05.533428
SYN-2028-00449,Sterling Solutions,Construction,14.76,49.14,47.99,1.78,1.78,2.13,2.34,7.57,0,POSITIVE,13.7,0.2,100.0,APPROVE,0,2025-12-30T16:56:05.546084
SYN-2026-00227,Royal Technologies,Pharmaceuticals,15.98,35.54,35.04,1.7,1.88,1.19,1.42,20.63,0,POSITIVE,30.78,1.79,100.0,APPROVE,0,2025-04-20T16:56:05.503134
SYN-2033-00950,Modern Group,Construction,84.54,126.37,117.27,0.52,1.67,1.99,7.2,73.76,2,NEUTRAL,44.18,-1.16,3.28,REJECT,0,2026-02-27T16:56:05.591173
SYN-2033-00946,Global Group,Construction,54.84,122.12,130.47,0.5,1.42,2.07,6.83,76.73,1,NEGATIVE,61.15,-4.82,0.0,REJECT,1,2025-10-23T16:56:05.590609
SYN-2031-00796,Classic Systems,Retail,76.31,141.07,143.72,1.56,2.01,0.91,1.88,27.6,0,POSITIVE,10.87,0.62,100.0,APPROVE,0,2026-01-10T16:56:05.574781
SYN-2029-00501,Imperial Manufacturing,Automotive Parts,51.64,144.97,144.75,1.32,1.64,0.86,0.15,28.29,0,POSITIVE,35.05,3.68,100.0,APPROVE,0,2026-03-05T16:56:05.550357
SYN-2028-00464,Royal Manufacturing,Automotive Parts,20.07,33.96,36.86,0.78,1.22,1.91,8.54,80.99,4,NEGATIVE,63.03,-1.17,0.0,REJECT,1,2026-03-05T16:56:05.547807
SYN-2027-00362,Premier Manufacturing,Chemicals,6.59,20.77,20.57,1.32,1.98,0.97,0.96,10.83,0,NEUTRAL,30.39,1.96,100.0,APPROVE,0,2025-11-18T16:56:05.533770
SYN-2028-00468,Modern Solutions,Pharmaceuticals,120.55,188.85,186.17,1.76,1.83,1.77,1.42,4.01,0,POSITIVE,32.54,1.82,100.0,APPROVE,0,2025-06-23T16:56:05.548185
SYN-2033-00935,Premier Solutions,Industrial Manufacturing,78.52,98.31,94.09,1.36,2.25,2.0,4.29,10.95,0,POSITIVE,25.1,2.47,100.0,APPROVE,0,2025-05-31T16:56:05.589479
SYN-2028-00428,Supreme Systems,Construction,84.43,128.05,118.51,0.86,1.15,1.7,7.46,70.74,1,NEGATIVE,54.99,-4.45,0.0,REJECT,0,2025-08-24T16:56:05.542858
SYN-2024-00007,Modern Corporation,Textiles,35.88,99.72,104.12,0.7,1.04,1.61,4.41,83.78,2,NEUTRAL,75.49,-1.43,0.0,REJECT,1,2025-03-23T16:56:05.473339
SYN-2025-00155,United Group,Industrial Manufacturing,102.28,149.39,151.87,0.73,2.17,0.52,1.66,11.03,0,NEUTRAL,34.83,0.06,82.98,APPROVE,0,2025-06-21T16:56:05.494374
SYN-2029-00541,National Technologies,Renewable Energy,55.57,105.36,116.0,0.64,1.11,1.41,10.1,88.22,3,NEGATIVE,79.16,-1.23,0.0,REJECT,1,2025-09-05T16:56:05.553383
SYN-2028-00440,Classic Solutions,Industrial Manufacturing,66.96,166.56,166.66,1.32,1.52,1.69,0.06,18.03,0,NEGATIVE,20.88,2.35,73.55,CONDITIONAL_APPROVE,1,2025-10-03T16:56:05.544419
SYN-2028-00482,Imperial Enterprises,Industrial Manufacturing,88.58,189.49,190.08,1.65,0.66,0.77,0.31,2.61,0,POSITIVE,39.0,2.85,100.0,APPROVE,0,2026-01-07T16:56:05.549084
SYN-2028-00422,Universal Manufacturing,IT Services,57.73,178.41,165.83,1.04,1.42,3.2,7.05,83.52,1,NEGATIVE,56.31,-0.19,0.0,REJECT,1,2025-05-31T16:56:05.542076
SYN-2031-00778,Royal Technologies,Automotive Parts,20.17,50.61,52.89,1.22,1.44,0.1,4.51,13.2,0,NEUTRAL,31.56,2.06,93.47,APPROVE,0,2026-02-27T16:56:05.573522
SYN-2033-00949,Imperial Systems,Construction,10.69,15.85,16.05,1.44,2.21,1.93,1.28,17.48,0,NEGATIVE,36.76,3.79,78.93,APPROVE,0,2025-03-19T16:56:05.591071
SYN-2027-00334,Premier Corporation,Renewable Energy,9.73,13.64,15.49,0.65,1.33,3.05,13.55,95.75,1,NEUTRAL,42.65,-2.38,0.0,REJECT,1,2025-04-14T16:56:05.527997
SYN-2029-00576,Apex Corporation,Pharmaceuticals,71.38,177.66,174.17,1.75,2.23,0.16,1.97,13.22,0,NEGATIVE,30.53,4.37,100.0,APPROVE,0,2025-08-15T16:56:05.557268
SYN-2033-00934,Prime Industries,Renewable Energy,139.16,178.67,185.63,1.27,1.75,0.93,3.9,3.01,0,NEUTRAL,36.4,4.34,98.85,APPROVE,0,2025-05-20T16:56:05.589373
SYN-2029-00567,Royal Corporation,Food Processing,77.51,157.8,175.73,0.67,1.03,1.75,11.36,86.98,2,NEUTRAL,59.41,-2.78,0.0,REJECT,0,2025-06-06T16:56:05.556477
SYN-2029-00594,Prime Corporation,Renewable Energy,86.05,112.0,119.26,1.28,1.35,3.43,6.48,71.4,1,NEGATIVE,45.16,-3.46,0.24,REJECT,1,2025-08-29T16:56:05.558731
SYN-2029-00530,Classic Manufacturing,Retail,107.57,199.17,200.65,0.88,1.35,1.96,0.74,52.26,2,NEGATIVE,54.35,-2.57,1.44,REJECT,1,2026-01-12T16:56:05.552511
SYN-2029-00581,Supreme Solutions,Renewable Energy,108.69,140.36,146.75,0.95,1.52,0.5,4.56,1.23,0,POSITIVE,17.96,1.34,99.35,APPROVE,0,2026-02-21T16:56:05.557869
SYN-2031-00707,Elite Corporation,Industrial Manufacturing,45.48,90.01,94.31,0.8,1.48,3.37,4.77,87.42,1,NEUTRAL,59.83,-3.84,0.25,REJECT,1,2025-04-26T16:56:05.566490
SYN-2028-00448,Classic Manufacturing,Construction,113.57,145.87,137.9,0.52,1.17,3.31,5.47,68.96,1,POSITIVE,78.69,-2.86,0.0,REJECT,1,2025-04-10T16:56:05.545956
SYN-2028-00453,Prime Technologies,Construction,112.2,146.66,150.0,1.47,1.7,1.76,2.28,20.01,0,POSITIVE,38.59,2.64,100.0,APPROVE,0,2025-04-14T16:56:05.546597
SYN-2026-00228,Elite Technologies,Construction,112.93,168.49,173.15,1.31,2.14,1.68,2.77,8.84,0,NEUTRAL,32.14,0.71,91.88,APPROVE,0,2026-01-29T16:56:05.503359
SYN-2027-00352,United Industries,IT Services,62.2,166.65,174.06,1.12,2.48,1.3,4.45,20.32,0,POSITIVE,31.94,4.16,100.0,APPROVE,0,2025-06-07T16:56:05.532737
SYN-2031-00728,Supreme Enterprises,Construction,105.08,135.54,133.7,1.43,0.88,0.79,1.36,6.41,0,NEUTRAL,30.49,3.65,98.95,APPROVE,0,2025-08-12T16:56:05.568445
SYN-2026-00212,Modern Systems,Industrial Manufacturing,54.77,116.14,118.88,0.79,1.04,2.4,2.35,74.63,1,NEUTRAL,44.92,-1.35,20.39,REJECT,0,2025-05-21T16:56:05.501154
SYN-2024-00079,Apex Group,Automotive Parts,10.6,26.25,28.83,0.73,1.45,1.64,9.85,57.59,3,NEGATIVE,40.52,-4.87,0.0,REJECT,1,2025-07-28T16:56:05.485106
SYN-2025-00148,Modern Manufacturing,Automotive Parts,83.13,104.42,103.14,0.95,2.0,0.65,1.23,18.02,0,POSITIVE,37.58,4.26,100.0,APPROVE,0,2025-12-22T16:56:05.493606
SYN-2027-00302,Classic Enterprises,IT Services,73.93,119.97,122.93,1.59,1.99,1.3,2.47,17.91,0,POSITIVE,36.67,0.78,100.0,APPROVE,0,2026-01-18T16:56:05.516990
SYN-2030-00628,Global Group,Pharmaceuticals,12.3,15.9,17.58,0.83,0.69,2.11,10.53,65.77,2,POSITIVE,46.29,-3.8,3.44,REJECT,1,2025-12-18T16:56:05.561001
SYN-2031-00777,Supreme Solutions,Textiles,89.06,124.81,117.1,0.78,0.96,3.21,6.18,88.02,2,POSITIVE,64.26,-2.87,0.0,REJECT,1,2026-02-03T16:56:05.573446
SYN-2029-00506,Imperial Corporation,Chemicals,28.84,56.48,57.24,1.53,1.61,0.31,1.35,2.31,0,POSITIVE,34.64,4.19,100.0,APPROVE,0,2025-03-28T16:56:05.550696
SYN-2027-00342,Sterling Technologies,Textiles,17.56,29.85,30.01,1.72,1.92,0.37,0.56,0.32,0,POSITIVE,34.03,2.32,100.0,APPROVE,0,2026-01-09T16:56:05.530887
SYN-2028-00485,Universal Group,Automotive Parts,94.63,160.86,160.49,1.32,2.0,0.42,0.23,12.95,0,NEUTRAL,24.53,1.71,100.0,APPROVE,0,2025-03-16T16:56:05.549281
SYN-2031-00711,Sterling Corporation,Renewable Energy,52.37,162.6,151.19,0.78,1.66,2.92,7.02,74.62,1,NEUTRAL,50.76,-0.04,16.06,REJECT,0,2025-08-27T16:56:05.566820
SYN-2025-00133,Imperial Group,Chemicals,97.38,174.03,154.84,0.67,0.7,3.81,11.03,77.17,2,NEGATIVE,55.19,-2.6,0.0,REJECT,0,2026-01-03T16:56:05.490891
SYN-2031-00703,Universal Corporation,Textiles,7.29,20.74,21.29,1.27,1.45,1.56,2.67,7.71,0,POSITIVE,16.69,2.16,100.0,APPROVE,0,2025-12-05T16:56:05.566203
SYN-2027-00311,Global Industries,Construction,87.85,186.54,178.52,1.39,2.43,0.79,4.3,6.87,0,NEUTRAL,37.85,2.64,100.0,APPROVE,0,2025-12-02T16:56:05.518185
SYN-2031-00722,Global Technologies,Retail,119.08,169.94,167.89,1.83,2.09,2.36,1.21,13.69,0,POSITIVE,24.94,2.05,100.0,APPROVE,0,2025-07-09T16:56:05.567949
SYN-2030-00629,United Manufacturing,Pharmaceuticals,40.91,128.09,141.13,0.75,1.06,2.61,10.19,80.02,4,POSITIVE,53.82,-4.07,0.0,REJECT,1,2025-04-21T16:56:05.561065
